Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.584997109,0.8064826808,0.9806670153,2.070784201,0.4169209484,-0.8635743173,1.366958155,-1.130017178,-1.467298495,-0.9373762935,-1.623235032,-0.7543175186,-0.9094313806,0.6025543942,2.499626561,0.7905517742,0.4390374257,-0.06780341228,1.343490454,1.646344355,1.092735851
7.583910235,0.8071278706,0.9792056232,2.070684123,0.4171123363,-0.8642184919,1.370509387,-1.224068601,-1.494295584,-0.9389051426,-1.652768658,-0.8157450694,-0.9587283156,0.5733030415,2.461231184,0.7779622989,0.4388947613,-0.08532270366,1.316966199,1.652932124,1.077074423
7.582525523,0.8077485771,0.9777385212,2.070212503,0.4173823098,-0.8653641215,1.373881352,-1.312247836,-1.518293773,-0.9398688959,-1.678673832,-0.8732816696,-1.007885658,0.5452692787,2.412726453,0.7622490132,0.438722747,-0.1058103069,1.283475163,1.653442247,1.057838754
7.580858322,0.8083367585,0.976284955,2.069376136,0.4177272989,-0.8669963132,1.377030901,-1.393420839,-1.538984722,-0.9402569658,-1.70062213,-0.9261850232,-1.056258806,0.5188171612,2.354747174,0.7436226798,0.4385203593,-0.1289934538,1.243466876,1.647883304,1.035286898
7.578931505,0.8088847975,0.9748638726,2.068186488,0.418142762,-0.8690937346,1.379917969,-1.466546241,-1.556104644,-0.9400666844,-1.718339215,-0.9737764886,-1.103215763,0.4942883696,2.288051617,0.7223315491,0.4382884786,-0.1545653173,1.197474418,1.636341513,1.009718677
7.576768732,0.8093856042,0.9734936679,2.066659556,0.4186232456,-0.871628966,1.382506045,-1.530693712,-1.569444121,-0.939300212,-1.731607409,-1.015458881,-1.148158091,0.4719922262,2.213506201,0.6986481117,0.4380338291,-0.1821995043,1.146100521,1.618974927,0.9814757744
7.574398591,0.8098327149,0.9721919527,2.064815625,0.4191624557,-0.8745688503,1.384762651,-1.585049138,-1.578844163,-0.9379704786,-1.74027297,-1.050710773,-1.190510681,0.4522129616,2.132076688,0.6728834661,0.4377588807,-0.2115360527,1.09002026,1.596023619,0.9509304499
7.571855122,0.8102203815,0.9709753157,2.062678964,0.4197533423,-0.8778749432,1.386659719,-1.628925272,-1.584195219,-0.9360966679,-1.744240325,-1.07909463,-1.22973242,0.4352000337,2.044817345,0.6453744682,0.4374658044,-0.2421933856,1.029965392,1.5677964,0.9184805996
7.569158421,0.8105436474,0.9698591363,2.060277511,0.4203881961,-0.8815040684,1.38817391,-1.661776679,-1.585443659,-0.9337031875,-1.743474646,-1.100269543,-1.265329937,0.4211636598,1.952853821,0.6164745544,0.4371597915,-0.2737796609,0.9667115046,1.534664258,0.8845474829
7.56636081,0.8107984095,0.9688573184,2.057642511,0.4210587668,-0.8854090656,1.389286782,-1.683163229,-1.582585558,-0.930827291,-1.738009267,-1.113976438,-1.296844055,0.4102845307,1.857416082,0.5865867903,0.4368358781,-0.3058660178,0.9010936274,1.497081286,0.8495631913
