Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.56927574,0.810561559,0.968688844,2.060052799,0.420279389,-0.879186453,1.389742892,-1.662315325,-1.586823892,-0.933819375,-1.735449476,-1.099985748,-1.268443673,0.417531707,1.958878353,0.618598033,0.43715562,-0.270701469,0.970511594,1.536302794,0.885866513
7.566470536,0.810819468,0.967581588,2.057336987,0.420948185,-0.883164946,1.390841665,-1.684269557,-1.584133267,-0.930966214,-1.730261761,-1.114076641,-1.300134019,0.406498657,1.863561145,0.588713029,0.436829551,-0.302306005,0.90500983,1.498741851,0.85070824
7.563588247,0.811005692,0.96660476,2.05442125,0.421644785,-0.887377776,1.391521578,-1.694569599,-1.577398513,-0.927658319,-1.720478579,-1.120577011,-1.327394928,0.398742783,1.765874065,0.55815463,0.436512267,-0.334075776,0.837907061,1.457161829,0.814936758
7.56067568,0.811117925,0.965769442,2.051342273,0.422360212,-0.89177117,1.39177458,-1.693081914,-1.566709127,-0.923945469,-1.706245587,-1.119410128,-1.349863398,0.394369196,1.667069707,0.527338475,0.436188411,-0.365572554,0.770074222,1.41211695,0.778994705
7.557772651,0.811154831,0.965084969,2.048138672,0.423085268,-0.896289061,1.391598051,-1.679844048,-1.552218946,-0.919878942,-1.687765257,-1.110615731,-1.367270744,0.3934274,1.568412302,0.496657217,0.435865379,-0.396395477,0.702373823,1.364186941,0.743338207
7.554920652,0.811116056,0.964558704,2.044850557,0.423810657,-0.900874059,1.390994656,-1.655039459,-1.534129541,-0.915504715,-1.665278798,-1.094333577,-1.379429013,0.395912003,1.471148082,0.466476997,0.435557933,-0.426176056,0.635642489,1.313960639,0.708416756
7.552152253,0.81100223,0.96419607,2.041519033,0.424527096,-0.905468121,1.389972382,-1.618993964,-1.512675336,-0.910884045,-1.639089111,-1.070779017,-1.386181433,0.401793629,1.376513523,0.437197469,0.435257411,-0.454516317,0.570730858,1.262089405,0.67465909
7.549503696,0.810814949,0.964000518,2.03818564,0.425225445,-0.910013255,1.388544374,-1.572174735,-1.488137052,-0.90607854,-1.609539953,-1.040266627,-1.387455624,0.410993663,1.285716011,0.409192592,0.434969101,-0.481057158,0.508455174,1.209232149,0.642484965
7.547007121,0.810556746,0.963973447,2.03489189,0.425896832,-0.914452439,1.386728687,-1.515187497,-1.460831061,-0.901142251,-1.577002019,-1.003195568,-1.383256185,0.423382524,1.199901297,0.382799016,0.434703898,-0.505479307,0.449580318,1.156035177,0.612292999
7.544690731,0.810231048,0.964114267,2.031678759,0.426532773,-0.91873027,1.384548098,-1.448763069,-1.431103403,-0.896143257,-1.541896461,-0.960040649,-1.373638519,0.438807044,1.12015476,0.358363144,0.434457051,-0.527461546,0.394849667,1.103179651,0.584450944
