"Time","Subsystem #1|CTLs|Vars|VMrms1","Subsystem #1|CTLs|Vars|VSrms1","Subsystem #1|CTLs|Vars|Vrms1","Subsystem #1|CTLs|Vars|Vrms10","Subsystem #1|CTLs|Vars|Vrms13","Subsystem #1|CTLs|Vars|Vrms16","Subsystem #1|CTLs|Vars|Vrms19","Subsystem #1|CTLs|Vars|Vrms4","Subsystem #1|CTLs|Vars|Vrms7"
0.24765,7.623218518,79.69728637,6.188412104,6.339170812,6.314132781,6.349789973,6.409495453,6.348791355,6.378101052
0.2478,7.623237906,79.69748909,6.256792914,6.408551726,6.387535689,6.421283684,6.478957341,6.418818543,6.447760568
0.24795,7.623251627,79.69763252,6.32444658,6.476689921,6.459759841,6.491441833,6.547012409,6.487591672,6.516092027
0.2481,7.623258039,79.69769949,6.389314369,6.541974436,6.529375935,6.55881569,6.612172123,6.553560879,6.581568426
0.24825,7.623248538,79.69759954,6.450474121,6.603307445,6.59527657,6.622321545,6.673396891,6.615660925,6.643133877
0.2484,7.623230126,79.69740646,6.508468442,6.66042204,6.65694925,6.681544989,6.730332175,6.673622173,6.700475647
0.24855,7.623200497,79.69709628,6.561001933,6.712095535,6.713147546,6.735238314,6.781745033,6.726101466,6.752321579
0.2487,7.623168519,79.69676167,6.607339628,6.757740297,6.763095364,6.782672275,6.82696138,6.772407224,6.798002817
0.24885,7.623139863,79.69646188,6.648216748,6.797236219,6.806451274,6.823597339,6.86576305,6.812393991,6.837333478
0.249,7.623118275,79.69623603,6.681548352,6.829279171,6.842028122,6.856775383,6.89693437,6.844709913,6.869040482
0.24915,7.623105516,79.69610251,6.707424759,6.85368154,6.869606948,6.882028266,6.920305668,6.869213612,6.892960419
0.2493,7.623101861,79.69606418,6.726212561,6.870390045,6.889140024,6.899361405,6.93586514,6.885950215,6.909093298
0.24945,7.62310672,79.69611486,6.736124862,6.878532474,6.899960217,6.908048778,6.942908212,6.894082975,6.916673623
0.2496,7.623119128,79.69624447,6.738046275,6.878199394,6.902138991,6.90821879,6.941562197,6.893805169,6.915844396
0.24975,7.623127175,79.69632858,6.732497794,6.869556435,6.89576,6.900016817,6.931981395,6.885308057,6.906771675
0.2499,7.623143583,79.69649999,6.718061291,6.85243105,6.880584171,6.883187352,6.913996167,6.868284175,6.889243905
0.25005,7.623164047,79.69671379,6.696017138,6.827536312,6.857102537,6.85831374,6.888187203,6.843401428,6.863882501
0.2502,7.623186828,79.69695181,6.666936201,6.795324304,6.825616231,6.825746367,6.854935604,6.811041942,6.83107429
0.25035,7.623209907,79.69719293,6.630073719,6.755965335,6.7862745,6.785587326,6.814428758,6.771261389,6.790968278
0.2505,7.623230991,79.69741317,6.587156758,6.710371621,6.739973113,6.738787424,6.767548411,6.72505048,6.744478347
0.25065,7.623247788,79.69758857,6.538559207,6.659087191,6.687381772,6.685994458,6.714925922,6.673013771,6.692214717
0.2508,7.623258428,79.6976996,6.484032562,6.602547822,6.629130698,6.627761949,6.657147617,6.615634466,6.634720493
0.25095,7.623261903,79.69773573,6.425596914,6.541683188,6.566302152,6.56520041,6.595211004,6.554029289,6.573015673
0.2511,7.623247242,79.69758278,6.363569521,6.477111051,6.499625678,6.499007777,6.529824611,6.488853227,6.507782797
0.25125,7.62322367,79.69733649,6.298170678,6.409693816,6.429954263,6.430009368,6.461867685,6.420913385,6.439884483
0.2514,7.623194263,79.6970293,6.231286151,6.340522874,6.35831332,6.359299883,6.392333558,6.351322798,6.370354281
0.25155,7.623165276,79.69672657,6.163159811,6.270437208,6.285397576,6.28757382,6.321995852,6.280777206,6.299952344
0.2517,7.623141299,79.69647627,6.094415262,6.200477687,6.21209821,6.215716187,6.25180562,6.210186947,6.229636538
0.25185,7.623125012,79.69630639,6.026717453,6.131577863,6.139344838,6.144699534,6.182617849,6.140517209,6.160293946
0.252,7.623117387,79.69622704,5.960190843,6.064475717,6.067908943,6.075245888,6.115207379,6.072468241,6.092676971
0.25215,7.623118234,79.69623625,5.895664318,6.000040987,5.998794694,6.008302308,6.050502108,6.006971348,6.027714078
0.2523,7.623126746,79.69632557,5.834430856,5.938819076,5.93283587,5.944680134,5.989145958,5.944771657,5.966059273
0.25245,7.623138176,79.69644517,5.776585149,5.881404421,5.870792158,5.885047327,5.931857017,5.886512309,5.908400644
0.2526,7.623149075,79.69655949,5.723071811,5.828575254,5.813576259,5.83027117,5.879449755,5.833045443,5.855563876
0.25275,7.623166219,79.69673896,5.674666964,5.780684159,5.761687277,5.780837505,5.832267218,5.784788993,5.807904007
0.2529,7.623186173,79.69694779,5.631524685,5.738494548,5.715745611,5.737329956,5.791001898,5.742364737,5.766110214
0.25305,7.623207213,79.69716792,5.594502402,5.702712763,5.676343601,5.700338734,5.756220674,5.706387437,5.730782263
0.2532,7.623227406,79.69737917,5.563915455,5.673547462,5.643685135,5.670068454,5.728037474,5.6770098,5.702046284
0.25335,7.62324475,79.69756058,5.539957003,5.651629249,5.618253723,5.646974182,5.707014571,5.654746594,5.680470291
0.2535,7.62325745,79.69769342,5.523310283,5.637280252,5.60046183,5.631449906,5.69345925,5.639973861,5.666383376
0.25365,7.623264277,79.69776482,5.513793772,5.630230657,5.590286612,5.623424476,5.687195279,5.632531435,5.659595486
0.2538,7.623257794,79.69769657,5.511723965,5.630905111,5.588192208,5.623311901,5.688712599,5.632892613,5.660598802
